Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 0.073 0.017 0.709 1.0 0.045
3.5e+05 0.0 0.003 0.4 0.927 0.002
4e+05 0.014 0.0 0.324 0.854 0.007
4.5e+05 0.032 0.012 0.221 0.78 0.022
5e+05 0.098 0.049 0.15 0.68 0.073
5.5e+05 0.199 0.102 0.095 0.564 0.151
6e+05 0.299 0.166 0.0 0.465 0.232
6.5e+05 0.418 0.235 0.072 0.342 0.327
7e+05 0.513 0.31 0.113 0.232 0.411
7.5e+05 0.591 0.385 0.114 0.136 0.488
8e+05 0.657 0.456 0.188 0.08 0.557
8.5e+05 0.717 0.526 0.279 0.027 0.622
9e+05 0.773 0.587 0.346 0.0 0.68
9.5e+05 0.825 0.641 0.429 0.048 0.733
1e+06 0.871 0.704 0.547 0.142 0.787
1.05e+06 0.916 0.766 0.681 0.2 0.841
1.1e+06 0.949 0.843 0.899 0.185 0.896
1.15e+06 0.978 0.92 1.0 0.189 0.949
1.2e+06 1.0 1.0 1.0 0.23 1.0
